run_date,city,platform,campaign_type,sub_metric,D1,LMTD,LM,MTD,MTD_vs_LMTD,PROJECTED,L7D,LL7D
2026-04-09,Chandigarh,Google,Google - UACe,SPEND,2860.25,25030.27,84063.1,29425.4,17.6,98084.67,23527.61,18159.94
2026-04-09,Chandigarh,Google,Google - UACe,CLICKS,606,5310,18800,6025,13.5,20083,4845,3674
2026-04-09,Chandigarh,Google,Google - UACe,CPC,4.72,4.71,4.47,4.88,,,4.86,4.94
2026-04-09,Chandigarh,Google,Google - Search,SPEND,1565.55,11368.68,44198.48,14164.59,24.6,47215.3,11116.09,10550.24
2026-04-09,Chandigarh,Google,Google - Search,CLICKS,341,2916,10844,3596,23.3,11986,2849,2336
2026-04-09,Chandigarh,Google,Google - Search,CPC,4.59,3.9,4.08,3.94,,,3.9,4.52
2026-04-09,Chandigarh,Google,Google - Total,SPEND,13436.31,115022.21,380319.39,122273.06,6.3,407576.87,97227.23,82127.14
2026-04-09,Chandigarh,Google,Google - Total,CLICKS,6607,71382,214285,54816,-23.2,182720,44776,22484
2026-04-09,Chandigarh,Google,Google - Total,CPC,2.03,1.61,1.77,2.23,,,2.17,3.65
2026-04-09,Chandigarh,Meta,Facebook - Catalog,SPEND,11696.44,106813.09,382166.48,113825.54,6.6,379418.47,88945.23,85930.34
2026-04-09,Chandigarh,Meta,Facebook - Catalog,CLICKS,1881,19564,63674,19253,-1.6,64176,15134,13977
2026-04-09,Chandigarh,Meta,Facebook - Catalog,CPC,6.22,5.46,6.0,5.91,,,5.88,6.15
2026-04-09,Chandigarh,Meta,Facebook - Conversion,SPEND,2862.67,25866.68,91232.04,28902.44,11.7,96341.47,22545.02,20905.34
2026-04-09,Chandigarh,Meta,Facebook - Conversion,CLICKS,242,2064,7021,2480,20.2,8266,1881,1840
2026-04-09,Chandigarh,Meta,Facebook - Conversion,CPC,11.83,12.53,12.99,11.65,,,11.99,11.36
2026-04-09,Chandigarh,Meta,Facebook - Total,SPEND,14559.11,132679.77,473398.52,142727.98,7.6,475759.93,111490.25,106835.68
2026-04-09,Chandigarh,Meta,Facebook - Total,CLICKS,2123,21628,70695,21733,0.5,72443,17015,15817
2026-04-09,Chandigarh,Meta,Facebook - Total,CPC,6.86,6.13,6.7,6.57,,,6.55,6.75
2026-04-09,Chennai,Google,Google - PMAX,SPEND,21531.79,133573.86,549420.83,180511.59,35.1,601705.3,132969.54,154325.58
2026-04-09,Chennai,Google,Google - PMAX,CLICKS,14255,78988,548963,135108,71.0,450360,95727,152947
2026-04-09,Chennai,Google,Google - PMAX,CPC,1.51,1.69,1.0,1.34,,,1.39,1.01
2026-04-09,Chennai,Google,Google - UACi,SPEND,7906.91,58742.14,199761.18,68413.2,16.5,228044.0,54741.79,43337.03
2026-04-09,Chennai,Google,Google - UACi,CLICKS,859,7475,24386,7811,4.5,26036,6333,5160
2026-04-09,Chennai,Google,Google - UACi,CPC,9.2,7.86,8.19,8.76,,,8.64,8.4
2026-04-09,Chennai,Google,Google - UACe,SPEND,4438.02,22113.59,85144.64,51049.48,130.9,170164.93,42933.23,30058.4
2026-04-09,Chennai,Google,Google - UACe,CLICKS,1254,3502,13839,11396,225.4,37986,10220,4704
2026-04-09,Chennai,Google,Google - UACe,CPC,3.54,6.31,6.15,4.48,,,4.2,6.39
2026-04-09,Chennai,Google,Google - Search,SPEND,1341.5,0,0,7357.51,,24525.03,7357.51,0
2026-04-09,Chennai,Google,Google - Search,CLICKS,419,0,0,1098,,3660,1098,0
2026-04-09,Chennai,Google,Google - Search,CPC,3.2,0.0,0.0,6.7,,,6.7,0.0
2026-04-09,Chennai,Google,Google - Total,SPEND,35218.22,214429.6,834326.65,307331.77,43.3,1024439.23,238002.06,227721.02
2026-04-09,Chennai,Google,Google - Total,CLICKS,16787,89965,587188,155413,72.7,518043,113378,162811
2026-04-09,Chennai,Google,Google - Total,CPC,2.1,2.38,1.42,1.98,,,2.1,1.4
2026-04-09,Chennai,Meta,Facebook - Catalog,SPEND,20018.53,92855.34,407118.23,192137.59,106.9,640458.63,150373.45,138377.73
2026-04-09,Chennai,Meta,Facebook - Catalog,CLICKS,5899,20537,102815,53206,159.1,177353,41633,37650
2026-04-09,Chennai,Meta,Facebook - Catalog,CPC,3.39,4.52,3.96,3.61,,,3.61,3.68
2026-04-09,Chennai,Meta,Facebook - Conversion,SPEND,6613.55,32061.36,124317.29,62549.41,95.1,208498.03,50451.4,38117.01
2026-04-09,Chennai,Meta,Facebook - Conversion,CLICKS,703,2352,9331,5552,136.1,18506,4423,3279
2026-04-09,Chennai,Meta,Facebook - Conversion,CPC,9.41,13.63,13.32,11.27,,,11.41,11.62
2026-04-09,Chennai,Meta,Facebook - Total,SPEND,26632.08,124916.7,531435.52,254687.0,103.9,848956.67,200824.85,176494.74
2026-04-09,Chennai,Meta,Facebook - Total,CLICKS,6602,22889,112146,58758,156.7,195860,46056,40929
2026-04-09,Chennai,Meta,Facebook - Total,CPC,4.03,5.46,4.74,4.33,,,4.36,4.31
2026-04-09,Coimbatore,Google,Google - PMAX,SPEND,6384.05,41718.57,168065.86,51552.79,23.6,171842.63,40744.84,38415.21
2026-04-09,Coimbatore,Google,Google - PMAX,CLICKS,2833,49200,170797,33618,-31.7,112060,26397,33797
2026-04-09,Coimbatore,Google,Google - PMAX,CPC,2.25,0.85,0.98,1.53,,,1.54,1.14
2026-04-09,Coimbatore,Google,Google - UACi,SPEND,659.03,7832.77,24523.89,5952.94,-24.0,19843.13,4569.73,3892.5
2026-04-09,Coimbatore,Google,Google - UACi,CLICKS,96,1393,4412,971,-30.3,3236,734,766
2026-04-09,Coimbatore,Google,Google - UACi,CPC,6.86,5.62,5.56,6.13,,,6.23,5.08
2026-04-09,Coimbatore,Google,Google - UACe,SPEND,840.07,9081.2,32522.1,12005.93,32.2,40019.77,9953.68,8206.05
2026-04-09,Coimbatore,Google,Google - UACe,CLICKS,265,2963,11175,3814,28.7,12713,3244,2662
2026-04-09,Coimbatore,Google,Google - UACe,CPC,3.17,3.06,2.91,3.15,,,3.07,3.08
2026-04-09,Coimbatore,Google,Google - Search,SPEND,0,2629.5,2629.5,0,-100.0,0.0,0,0
2026-04-09,Coimbatore,Google,Google - Search,CLICKS,0,688,688,0,-100.0,0,0,0
2026-04-09,Coimbatore,Google,Google - Search,CPC,0.0,3.82,3.82,0.0,,,0.0,0.0
2026-04-09,Coimbatore,Google,Google - Total,SPEND,7883.14,61262.05,227741.35,69511.65,13.5,231705.5,55268.25,50513.76
2026-04-09,Coimbatore,Google,Google - Total,CLICKS,3194,54244,187072,38403,-29.2,128010,30375,37225
2026-04-09,Coimbatore,Google,Google - Total,CPC,2.47,1.13,1.22,1.81,,,1.82,1.36
2026-04-09,Coimbatore,Meta,Facebook - Catalog,SPEND,4438.01,31289.9,92623.12,39907.66,27.5,133025.53,33259.54,20196.32
2026-04-09,Coimbatore,Meta,Facebook - Catalog,CLICKS,1060,7009,22537,9702,38.4,32340,8095,4936
2026-04-09,Coimbatore,Meta,Facebook - Catalog,CPC,4.19,4.46,4.11,4.11,,,4.11,4.09
2026-04-09,Coimbatore,Meta,Facebook - Conversion,SPEND,2964.17,12018.89,41418.58,24452.87,103.5,81509.57,20565.25,10821.89
2026-04-09,Coimbatore,Meta,Facebook - Conversion,CLICKS,253,922,3237,2143,132.4,7143,1804,929
2026-04-09,Coimbatore,Meta,Facebook - Conversion,CPC,11.72,13.04,12.8,11.41,,,11.4,11.65
2026-04-09,Coimbatore,Meta,Facebook - Total,SPEND,7402.18,43308.79,134041.7,64360.53,48.6,214535.1,53824.79,31018.21
2026-04-09,Coimbatore,Meta,Facebook - Total,CLICKS,1313,7931,25774,11845,49.4,39483,9899,5865
2026-04-09,Coimbatore,Meta,Facebook - Total,CPC,5.64,5.46,5.2,5.43,,,5.44,5.29
2026-04-09,Delhi NCR,Google,Google - PMAX,SPEND,27567.2,251583.75,830043.5,257476.71,2.3,858255.7,182909.75,223373.58
2026-04-09,Delhi NCR,Google,Google - PMAX,CLICKS,17735,51032,729000,164285,221.9,547616,124168,127060
2026-04-09,Delhi NCR,Google,Google - PMAX,CPC,1.55,4.93,1.14,1.57,,,1.47,1.76
2026-04-09,Delhi NCR,Google,Google - UACi,SPEND,18937.05,139099.38,459171.56,165370.72,18.9,551235.73,132318.51,100787.69
2026-04-09,Delhi NCR,Google,Google - UACi,CLICKS,2072,14803,49717,18972,28.2,63240,15004,11768
2026-04-09,Delhi NCR,Google,Google - UACi,CPC,9.14,9.4,9.24,8.72,,,8.82,8.56
2026-04-09,Delhi NCR,Google,Google - UACe,SPEND,26825.33,162138.89,578785.55,273387.6,68.6,911292.0,226572.34,154589.69
2026-04-09,Delhi NCR,Google,Google - UACe,CLICKS,6462,35373,134459,58523,65.4,195076,47827,35972
2026-04-09,Delhi NCR,Google,Google - UACe,CPC,4.15,4.58,4.3,4.67,,,4.74,4.3
2026-04-09,Delhi NCR,Google,Google - Search,SPEND,10254.17,73299.17,309358.32,100035.54,36.5,333451.8,79062.89,83274.13
2026-04-09,Delhi NCR,Google,Google - Search,CLICKS,2582,16546,69637,25265,52.7,84216,20141,16908
2026-04-09,Delhi NCR,Google,Google - Search,CPC,3.97,4.43,4.44,3.96,,,3.93,4.93
2026-04-09,Delhi NCR,Google,Google - Total,SPEND,83583.75,626121.18,2177358.93,796270.56,27.2,2654235.2,620863.48,562025.08
2026-04-09,Delhi NCR,Google,Google - Total,CLICKS,28851,117754,982813,267045,126.8,890150,207140,191708
2026-04-09,Delhi NCR,Google,Google - Total,CPC,2.9,5.32,2.22,2.98,,,3.0,2.93
2026-04-09,Delhi NCR,Meta,Facebook - Catalog,SPEND,75310.46,601023.14,2599555.95,741658.01,23.4,2472193.37,557418.32,656471.35
2026-04-09,Delhi NCR,Meta,Facebook - Catalog,CLICKS,21068,149891,610123,190003,26.8,633343,146088,160586
2026-04-09,Delhi NCR,Meta,Facebook - Catalog,CPC,3.57,4.01,4.26,3.9,,,3.82,4.09
2026-04-09,Delhi NCR,Meta,Facebook - Conversion,SPEND,37774.64,271479.55,997600.2,305802.14,12.6,1019340.47,242283.19,211371.04
2026-04-09,Delhi NCR,Meta,Facebook - Conversion,CLICKS,4337,19516,71516,30316,55.3,101053,23954,19011
2026-04-09,Delhi NCR,Meta,Facebook - Conversion,CPC,8.71,13.91,13.95,10.09,,,10.11,11.12
2026-04-09,Delhi NCR,Meta,Facebook - Total,SPEND,113085.1,872502.69,3597156.15,1047460.15,20.1,3491533.83,799701.51,867842.39
2026-04-09,Delhi NCR,Meta,Facebook - Total,CLICKS,25405,169407,681639,220319,30.1,734396,170042,179597
2026-04-09,Delhi NCR,Meta,Facebook - Total,CPC,4.45,5.15,5.28,4.75,,,4.7,4.83
2026-04-09,Hyderabad,Google,Google - PMAX,SPEND,11934.64,46360.0,259674.79,84652.34,82.6,282174.47,65761.67,72087.62
2026-04-09,Hyderabad,Google,Google - PMAX,CLICKS,6551,25781,168416,92403,258.4,308010,81478,37993
2026-04-09,Hyderabad,Google,Google - PMAX,CPC,1.82,1.8,1.54,0.92,,,0.81,1.9
2026-04-09,Hyderabad,Google,Google - UACi,SPEND,4778.16,34791.63,121186.34,40635.45,16.8,135451.5,31746.62,27673.42
2026-04-09,Hyderabad,Google,Google - UACi,CLICKS,548,3936,14396,4695,19.3,15650,3681,3427
2026-04-09,Hyderabad,Google,Google - UACi,CPC,8.72,8.84,8.42,8.66,,,8.62,8.08
2026-04-09,Hyderabad,Google,Google - UACe,SPEND,2569.36,18100.32,58626.76,37675.8,108.1,125586.0,30168.88,22274.62
2026-04-09,Hyderabad,Google,Google - UACe,CLICKS,551,3098,11286,8713,181.2,29043,7123,4493
2026-04-09,Hyderabad,Google,Google - UACe,CPC,4.66,5.84,5.19,4.32,,,4.24,4.96
2026-04-09,Hyderabad,Google,Google - Search,SPEND,1850.63,11557.92,57747.15,18289.87,58.2,60966.23,13691.26,19971.23
2026-04-09,Hyderabad,Google,Google - Search,CLICKS,674,4555,18957,7204,58.2,24013,5784,5515
2026-04-09,Hyderabad,Google,Google - Search,CPC,2.75,2.54,3.05,2.54,,,2.37,3.62
2026-04-09,Hyderabad,Google,Google - Total,SPEND,21132.8,110809.87,497235.05,181253.46,63.6,604178.2,141368.43,142006.9
2026-04-09,Hyderabad,Google,Google - Total,CLICKS,8324,37370,213055,113015,202.4,376716,98066,51428
2026-04-09,Hyderabad,Google,Google - Total,CPC,2.54,2.97,2.33,1.6,,,1.44,2.76
2026-04-09,Hyderabad,Meta,Facebook - Catalog,SPEND,11146.23,83746.76,303626.44,105719.48,26.2,352398.27,82741.33,79779.89
2026-04-09,Hyderabad,Meta,Facebook - Catalog,CLICKS,2760,19866,74028,23995,20.8,79983,18963,16887
2026-04-09,Hyderabad,Meta,Facebook - Catalog,CPC,4.04,4.22,4.1,4.41,,,4.36,4.72
2026-04-09,Hyderabad,Meta,Facebook - Conversion,SPEND,5742.8,35098.16,116804.6,46909.19,33.7,156363.97,38116.28,28270.7
2026-04-09,Hyderabad,Meta,Facebook - Conversion,CLICKS,415,2376,7821,3599,51.5,11996,2939,1986
2026-04-09,Hyderabad,Meta,Facebook - Conversion,CPC,13.84,14.77,14.93,13.03,,,12.97,14.23
2026-04-09,Hyderabad,Meta,Facebook - Total,SPEND,16889.03,118844.92,420431.04,152628.67,28.4,508762.23,120857.61,108050.59
2026-04-09,Hyderabad,Meta,Facebook - Total,CLICKS,3175,22242,81849,27594,24.1,91980,21902,18873
2026-04-09,Hyderabad,Meta,Facebook - Total,CPC,5.32,5.34,5.14,5.53,,,5.52,5.73
2026-04-09,Indore,Google,Google - PMAX,SPEND,2030.39,17919.11,60774.97,20174.7,12.6,67249.0,15037.21,14745.58
2026-04-09,Indore,Google,Google - PMAX,CLICKS,1990,11150,87437,22944,105.8,76480,16588,28577
2026-04-09,Indore,Google,Google - PMAX,CPC,1.02,1.61,0.7,0.88,,,0.91,0.52
2026-04-09,Indore,Google,Google - UACi,SPEND,0,0,0,0,,0.0,0,0
2026-04-09,Indore,Google,Google - UACi,CLICKS,0,0,0,0,,0,0,0
2026-04-09,Indore,Google,Google - UACi,CPC,0.0,0.0,0.0,0.0,,,0.0,0.0
2026-04-09,Indore,Google,Google - UACe,SPEND,420.84,0,0,5818.59,,19395.3,5818.59,0
2026-04-09,Indore,Google,Google - UACe,CLICKS,106,0,0,1909,,6363,1909,0
2026-04-09,Indore,Google,Google - UACe,CPC,3.97,0.0,0.0,3.05,,,3.05,0.0
2026-04-09,Indore,Google,Google - Search,SPEND,0,0,0,0,,0.0,0,0
2026-04-09,Indore,Google,Google - Search,CLICKS,0,0,0,0,,0,0,0
2026-04-09,Indore,Google,Google - Search,CPC,0.0,0.0,0.0,0.0,,,0.0,0.0
2026-04-09,Indore,Google,Google - Total,SPEND,2451.23,17919.11,60774.97,25993.28,45.1,86644.27,20855.8,14745.58
2026-04-09,Indore,Google,Google - Total,CLICKS,2096,11150,87437,24853,122.9,82843,18497,28577
2026-04-09,Indore,Google,Google - Total,CPC,1.17,1.61,0.7,1.05,,,1.13,0.52
2026-04-09,Indore,Meta,Facebook - Catalog,SPEND,3985.28,22207.83,70993.85,33853.9,52.4,112846.33,27774.94,17059.79
2026-04-09,Indore,Meta,Facebook - Catalog,CLICKS,1257,8420,26330,10676,26.8,35586,8601,5841
2026-04-09,Indore,Meta,Facebook - Catalog,CPC,3.17,2.64,2.7,3.17,,,3.23,2.92
2026-04-09,Indore,Meta,Facebook - Conversion,SPEND,973.52,7712.46,26914.68,8285.3,7.4,27617.67,6425.54,5998.57
2026-04-09,Indore,Meta,Facebook - Conversion,CLICKS,103,923,2918,837,-9.3,2790,660,552
2026-04-09,Indore,Meta,Facebook - Conversion,CPC,9.45,8.36,9.22,9.9,,,9.74,10.87
2026-04-09,Indore,Meta,Facebook - Total,SPEND,4958.8,29920.29,97908.53,42139.2,40.8,140464.0,34200.48,23058.36
2026-04-09,Indore,Meta,Facebook - Total,CLICKS,1360,9343,29248,11513,23.2,38376,9261,6393
2026-04-09,Indore,Meta,Facebook - Total,CPC,3.65,3.2,3.35,3.66,,,3.69,3.61
2026-04-09,Jaipur,Google,Google - PMAX,SPEND,3923.85,20756.7,91553.07,32332.28,55.8,107774.27,25152.26,25263.14
2026-04-09,Jaipur,Google,Google - PMAX,CLICKS,1908,18303,41577,51254,180.0,170846,30320,27687
2026-04-09,Jaipur,Google,Google - PMAX,CPC,2.06,1.13,2.2,0.63,,,0.83,0.91
2026-04-09,Jaipur,Google,Google - UACi,SPEND,0,0,0,0,,0.0,0,0
2026-04-09,Jaipur,Google,Google - UACi,CLICKS,0,0,0,0,,0,0,0
2026-04-09,Jaipur,Google,Google - UACi,CPC,0.0,0.0,0.0,0.0,,,0.0,0.0
2026-04-09,Jaipur,Google,Google - UACe,SPEND,417.19,0,0,4987.15,,16623.83,4987.15,0
2026-04-09,Jaipur,Google,Google - UACe,CLICKS,126,0,0,1973,,6576,1973,0
2026-04-09,Jaipur,Google,Google - UACe,CPC,3.31,0.0,0.0,2.53,,,2.53,0.0
2026-04-09,Jaipur,Google,Google - Search,SPEND,0,0,0,0,,0.0,0,0
2026-04-09,Jaipur,Google,Google - Search,CLICKS,0,0,0,0,,0,0,0
2026-04-09,Jaipur,Google,Google - Search,CPC,0.0,0.0,0.0,0.0,,,0.0,0.0
2026-04-09,Jaipur,Google,Google - Total,SPEND,4341.04,20756.7,91553.07,37319.43,79.8,124398.1,30139.41,25263.14
2026-04-09,Jaipur,Google,Google - Total,CLICKS,2034,18303,41577,53227,190.8,177423,32293,27687
2026-04-09,Jaipur,Google,Google - Total,CPC,2.13,1.13,2.2,0.7,,,0.93,0.91
2026-04-09,Jaipur,Meta,Facebook - Catalog,SPEND,7695.74,38565.03,216977.39,75042.33,94.6,250141.1,53444.94,79966.83
2026-04-09,Jaipur,Meta,Facebook - Catalog,CLICKS,2119,11863,61674,20614,73.8,68713,14421,22824
2026-04-09,Jaipur,Meta,Facebook - Catalog,CPC,3.63,3.25,3.52,3.64,,,3.71,3.5
2026-04-09,Jaipur,Meta,Facebook - Conversion,SPEND,2832.8,18266.16,72465.1,25343.54,38.7,84478.47,18055.87,24005.66
2026-04-09,Jaipur,Meta,Facebook - Conversion,CLICKS,272,1656,6135,2006,21.1,6686,1447,1856
2026-04-09,Jaipur,Meta,Facebook - Conversion,CPC,10.41,11.03,11.81,12.63,,,12.48,12.93
2026-04-09,Jaipur,Meta,Facebook - Total,SPEND,10528.54,56831.19,289442.49,100385.87,76.6,334619.57,71500.81,103972.49
2026-04-09,Jaipur,Meta,Facebook - Total,CLICKS,2391,13519,67809,22620,67.3,75400,15868,24680
2026-04-09,Jaipur,Meta,Facebook - Total,CPC,4.4,4.2,4.27,4.44,,,4.51,4.21
2026-04-09,Kochi,Google,Google - PMAX,SPEND,6450.73,56600.45,188005.9,60395.48,6.7,201318.27,42495.9,46934.7
2026-04-09,Kochi,Google,Google - PMAX,CLICKS,4240,54302,132302,52149,-4.0,173830,33526,40485
2026-04-09,Kochi,Google,Google - PMAX,CPC,1.52,1.04,1.42,1.16,,,1.27,1.16
2026-04-09,Kochi,Google,Google - UACi,SPEND,712.55,5536.48,5536.48,1505.12,-72.8,5017.07,1505.12,0
2026-04-09,Kochi,Google,Google - UACi,CLICKS,87,453,453,187,-58.7,623,187,0
2026-04-09,Kochi,Google,Google - UACi,CPC,8.19,12.22,12.22,8.05,,,8.05,0.0
2026-04-09,Kochi,Google,Google - UACe,SPEND,1621.27,12603.71,44771.88,18874.09,49.8,62913.63,15806.64,10773.26
2026-04-09,Kochi,Google,Google - UACe,CLICKS,571,5371,20471,6478,20.6,21593,5134,5008
2026-04-09,Kochi,Google,Google - UACe,CPC,2.84,2.35,2.19,2.91,,,3.08,2.15
2026-04-09,Kochi,Google,Google - Search,SPEND,0,0,0,0,,0.0,0,0
2026-04-09,Kochi,Google,Google - Search,CLICKS,0,0,0,0,,0,0,0
2026-04-09,Kochi,Google,Google - Search,CPC,0.0,0.0,0.0,0.0,,,0.0,0.0
2026-04-09,Kochi,Google,Google - Total,SPEND,8784.55,74740.64,238314.26,80774.69,8.1,269248.97,59807.66,57707.96
2026-04-09,Kochi,Google,Google - Total,CLICKS,4898,60126,153226,58814,-2.2,196046,38847,45493
2026-04-09,Kochi,Google,Google - Total,CPC,1.79,1.24,1.56,1.37,,,1.54,1.27
2026-04-09,Kochi,Meta,Facebook - Catalog,SPEND,6942.78,65411.42,228291.21,67395.36,3.0,224651.2,52854.02,50570.25
2026-04-09,Kochi,Meta,Facebook - Catalog,CLICKS,1122,8802,30167,9733,10.6,32443,7808,6593
2026-04-09,Kochi,Meta,Facebook - Catalog,CPC,6.19,7.43,7.57,6.92,,,6.77,7.67
2026-04-09,Kochi,Meta,Facebook - Conversion,SPEND,4339.26,21848.98,78683.51,35222.13,61.2,117407.1,28694.96,18639.67
2026-04-09,Kochi,Meta,Facebook - Conversion,CLICKS,662,1922,7090,4698,144.4,15660,3775,2287
2026-04-09,Kochi,Meta,Facebook - Conversion,CPC,6.55,11.37,11.1,7.5,,,7.6,8.15
